,parentId,authorDisplayName,replyComment,publishedAt,likeCount,Label
20,Ugyp36GwS1OkpGRDli54AaABAg,Simply Life,Lời bài hát của nhiều bài đọc ra như văn trẻ con mẫu giáo vậy.,2018-12-27T11:50:06Z,2,null
21,Ugw_G6Op-7XCI7JbDOp4AaABAg,Thinh Doan,Cây bàng vuông biểu tượng ở đảo xa. Bài hát nói về người lính ở đảo nhớ ny.,2018-12-15T13:53:53Z,0,null
22,UgyuXOxg5BWaZ9HFfwx4AaABAg,Blue Cat,😂😂😂,2018-12-15T09:19:12Z,0,null
23,Ugy5ESo6dZThVmWSrqR4AaABAg,Thinh Doan,Bài hát này viết về người lính ở đảo xa nhớ ny nhé. Và cây bàng vuông là biểu tượng của đảo xa. Mỗi cây lớn lên đều do sự tận tình của người lính,2018-12-15T13:52:02Z,0,null
24,UgzgzqnT9oeIsUG84_Z4AaABAg,QUANGTRUNG98,Bài Chạm Đáy Nỗi Đau b ạ,2018-12-14T12:43:28Z,0,null
25,UgwHfDJDcfoNA2mHapR4AaABAg,한윤비,*Người âm phủ* và *Đừng như thói quen* nhe bạn,2018-12-14T11:01:58Z,0,null
26,UgxA0TnhIREUUvz--Fp4AaABAg,Đz Kaiz,@QUANGTRUNG98 Mơn nhìu nha,2018-12-11T02:43:25Z,0,null
27,UgxA0TnhIREUUvz--Fp4AaABAg,QUANGTRUNG98,Ngưới Âm Phủ EDM b ạ,2018-12-11T02:35:09Z,1,null
28,Ugyu9eWlFA6--FlKD3R4AaABAg,Dung Vo,hongkong1,2018-12-11T06:45:32Z,0,null
29,UgwiskcjTq4NRpEnKXN4AaABAg,Pandora Gracotteria,@LS7 queen cảm ơn,2018-12-09T13:04:31Z,0,null
30,UgwiskcjTq4NRpEnKXN4AaABAg,LS7 queen,nghĩa là đừng đi,2018-12-09T09:07:12Z,0,null
31,UgzLSwEIoqWmNSEWK114AaABAg,Vicky Mộc,Ủa là bài Chạm Đáy nỗi đau à,2018-12-09T05:07:24Z,0,null
32,UgzLSwEIoqWmNSEWK114AaABAg,Cỏ Xanh 杨阳,trời má nổi z mà bn ko bt à ?,2018-12-08T14:09:35Z,0,null
33,UgwN8yAZS_egdf0j2cB4AaABAg,Nghi Tran,@capAu 33 Tại vì thấy nó hiện lên trang chủ nên bấm vào xem thử :))),2019-02-06T07:34:47Z,0,null
34,UgwN8yAZS_egdf0j2cB4AaABAg,capAu 33,=)) thế các bạn vào đây làm j?,2019-02-05T20:09:44Z,0,null
35,UgwN8yAZS_egdf0j2cB4AaABAg,Hug Nguyễn,thật sự mình chẳng thấy buồn cười chỗ nào,2018-12-23T16:06:52Z,0,null
36,UgwN8yAZS_egdf0j2cB4AaABAg,Nguyen Vinh,vui vl chả hiểu vui chổ nào,2018-12-15T08:58:56Z,0,null
37,UgwN8yAZS_egdf0j2cB4AaABAg,Crystal Erik,Nghi Tran tôi thấy video này quá xàm. Del hiểu sao đứa nào cũng thấy vui??,2018-12-12T15:29:34Z,2,null
38,Ugzfl3vKUoQbaHks-7V4AaABAg,Lovely Parrot,Bài Hong Kong 1 đó bạn,2018-12-07T11:10:17Z,0,null
39,Ugz-7YeQB5rQXNQd-dZ4AaABAg,Thảo Kim,HongKong1,2018-12-07T09:00:04Z,0,null
40,UgxpOFvKoPDILWWRQC54AaABAg,Thuy Ho,Mat troi cua em nh bn,2019-01-16T14:21:54Z,0,null
41,UgxpOFvKoPDILWWRQC54AaABAg,á đù,Mật trời của phong,2018-12-19T07:14:25Z,0,null
42,UgxpOFvKoPDILWWRQC54AaABAg,YNA,Mặt trời của em,2018-12-08T06:38:56Z,0,null
43,UgxpOFvKoPDILWWRQC54AaABAg,Nguyễn Vân,Mặt trời của em,2018-12-07T10:21:28Z,0,null
44,UgxpOFvKoPDILWWRQC54AaABAg,QUANGTRUNG98,Bài Mặt trời của em,2018-12-07T05:56:48Z,0,null
45,UgxTs5FdEN_WMQPx3V54AaABAg,Ly Li,"*Ai bị đau đầu, hay có các bệnh lí, dễ bực.. tức quá sẽ dẫn đến đau tim/lên máu thì không nên đọc cmt này nha😁*
*Đây chỉ là khi xem MV của chị gì đó.. và đúc kết từ các cmt đọc, nghe bài này quá nhiều lần và cộng thêm trí tưởng tượng phong phú của t thôi.. chứ còn ý nghĩa thật sự mà tác giả muốn truyền tải t hông biết có phải như t nghĩ hông😂 đọc vui..có gì tìm hiểu thêm,đừng gắt quá nha😅
T đọc hơi nhiều ( gần hết các cmt😁) nên giờ nói theo gọn gọn he.. bài hát *vì anh thương em* nói lên tình cảm của chàng trai dành cho người mình yêu.. câu chuyện của 1 chàng trai nơi đảo xa..nơi anh ở có 1 loại cây, đó là cây bàng vuông..hình ảnh cây bàng vuông gắn liền với các anh nơi đảo xa.. nên câu *vì anh thương em như thương cây bàng non, cây nhớ ai làm sao nói được* cho thấy khoảng cách địa lí.. đã quyết định chọn đảo.. thì chuyện tình cảm cá nhân các anh sẽ để sang 1 bên.. như chúng ta thương nhưng chỉ để trong lòng mà không.. bàng vuông gắn liền với các anh, đã cùng nhau vượt qua bao nhiêu năm tháng, nắng mưa..giống như anh đã từng cùng người con gái anh thương...câu trên giống như 1 câu ẩn dụ.
Nghe câu cuối của bài hát sẽ hiểu rõ hơn về bài/câu này",2018-12-07T00:10:32Z,0,null
46,UgxTs5FdEN_WMQPx3V54AaABAg,NGUYỄN VĂN ANH,Chà chộm xong rồi nói nghe coi,2018-12-06T18:12:15Z,0,null
47,UgxTs5FdEN_WMQPx3V54AaABAg,An Bùi,Là j🤔🤔,2018-12-06T17:20:23Z,0,null
48,UgzX9Rsakgj7E9pmyu94AaABAg,Biển muối Junhoe,@mèo Uni cj GD nào ai bt đâu😂😂,2018-12-11T14:56:06Z,1,null
49,UgzX9Rsakgj7E9pmyu94AaABAg,mèo Uni,cj GD là ai zị,2018-12-11T12:10:02Z,0,null
50,Ugz-rJLw2sdm0oSrv2p4AaABAg,Khanh Linh Le,"Giờ lật lại mới thấy 7749 câu chuyện về hong kon g1 với cả giọt lệ tràn đầy cầu kỳ, giọt lệ tràn đây_cầu kỳ/cầu kì và giọt lê_tràn đầy cầu kỳ?",2020-02-25T18:39:41Z,0,null
51,Ugz-rJLw2sdm0oSrv2p4AaABAg,Danh Nguyễn Văn,"@Thanh Vy Vĩ Phùng lúc đầu cũng thấy lời lẻ kém lủng cũng   nhưng đó là trên bàn nhậu còn lúc ra sản phẩm lời bài hát đã chỉnh chu hơn, và là bài của 1 cậu sv xây dựng thì có thể chấp nhận được mà",2019-01-31T07:12:30Z,1,null
52,Ugz-rJLw2sdm0oSrv2p4AaABAg,Danh Nguyễn Văn,"Khóc nhưng ko biết là khóc vì tiếc thương chuyện tình của mình hay thương hại xót xa cho thanh xuân của nhau, hau chỉ đơn giản là người muốn chia tay nhưng lại tự bật khóc, tuii nghĩ là vậy :3",2019-01-31T07:07:23Z,1,null
53,Ugz-rJLw2sdm0oSrv2p4AaABAg,Vũ Richard Đức,Thanh Vy Vĩ Phùng ghép lại cả câu nhé Giọt Lệ Tràn Đầy- Cầu Kỳ. Hiểu chưa? Không phải Giọt lệ- Tràn Đầy Cầu kỳ. Và Cầu kỳ chứ không phải Cầu kì,2019-01-04T15:57:42Z,2,null
54,Ugz-rJLw2sdm0oSrv2p4AaABAg,fan trấn thành,@Vũ Richard Đức ng ta k bt ngu clmm,2019-01-04T15:28:28Z,1,null
55,Ugz9RSdVBHy6skZWgT94AaABAg,Đoàn An Văn,đừng như thói quen nha,2018-12-06T10:32:23Z,0,null
56,UgyWas1CA_eblp204Vt4AaABAg,Hoàng Nhật Linh,Hong kong 1 nha bn,2018-12-06T05:30:52Z,0,null
57,UgzuP1aLvCsVAVDqHpl4AaABAg,S-Kan,thank,2018-12-08T12:24:00Z,0,null
58,UgzyHEI49WitC5uFv9B4AaABAg,Thanh Nguyễn,"Mà công nhận nghe bài đó ức chế thiệt, nghĩ ơi nó là người thứ ba, định giựt bồ người ta chắc ????? 😂😂",2019-02-02T11:09:44Z,1,null
59,UgzyHEI49WitC5uFv9B4AaABAg,R.E.D 2k7,Nhỏ kia yêu tiền,2019-01-03T14:12:04Z,1,null
60,UgzyHEI49WitC5uFv9B4AaABAg,Thuong Duong,Bàu này nói về cô gái đa nhận cách mà chớ có con nữ 8 phản diện méo yêu na9 âu,2018-12-17T12:23:34Z,3,null
61,UgzyHEI49WitC5uFv9B4AaABAg,Trinh Nguyễn,@duy trang không còn quan tâm anh từng ngày,2018-12-09T12:48:01Z,7,null
62,UgzyHEI49WitC5uFv9B4AaABAg,duy trang,Bài đó có nói ng kia ko yêu thằng đó đâu,2018-12-09T12:37:09Z,3,null
63,Ugz-yjh0mXNSv_k1AIB4AaABAg,Ngoc hang Dang Tran Chau,"Nguyễn duy 
Là bài em mới là người yêu anh bn nha!",2018-12-06T08:53:46Z,0,null
64,UgxY7Ol050eGRG-Jk5l4AaABAg,Công Thành,Những câu bình luận của ad rõ ràng ko coi mấy người kia ngang hàng nói chuyện đúng chất phỉ báng tui ko thể cười trong video này,2019-02-08T14:02:06Z,1,null
65,UgxY7Ol050eGRG-Jk5l4AaABAg,Trần Ngọc Nhi,Đúng,2018-12-25T11:28:28Z,0,null
66,UgxY7Ol050eGRG-Jk5l4AaABAg,Bỉ Ngạn Hoa,"thôi đi mấy ông cố nội 
hở tí là cải nhau. Gây war comment :v
ko biết ở nước ngoài thì ra sao chứ ở việt nam tui thấy vụ này nhiều lắm...",2018-12-17T14:54:10Z,0,null
67,UgxY7Ol050eGRG-Jk5l4AaABAg,Ka Hoang,@Lam Le end đc r.. Ko còn gì để nói nữa.. Bạn vẫn bảo vệ ý kiến vậy là hay thì thôi.. Ciao :),2018-12-16T04:23:55Z,0,null
68,UgxY7Ol050eGRG-Jk5l4AaABAg,Lam Le,"@Ka Hoang chửi thì chửi thôi. Đơn giản mà 1 phần cũng vì idol mấy bạn đó bị nói như vậy thì tốc lên chửi người ta cũng chẳng việc gì lạ. Còn việc người ta làm thì cũng ko nhất thiết người dưng như chúng ta lên tiếng. Cũng rảnh rỗi ko có việc làm mới lên đây cmt, còn ý đông là người đúng ta sai à nếu người ta làm sai cái gì nhỏ nhặt nhưng ko cố ý thì cũng hãy nên bỏ qua. Trên đời chẳng có gì tuyệt đối hết. Do 9 người 10 ý nên mới có chuyện để nói, còn người nào ko biết nhận thức kịp thời thì chết ráng chịu. Trấn chứ ko phải chấn à mới biết luôn đấy.",2018-12-16T04:14:06Z,0,null
69,Ugzjpr5qmeQPZUMNtyB4AaABAg,Le Tuyết,chạm đấy nỗi đau ă bạn,2018-12-05T03:10:27Z,1,null
70,UgzobJALVBGwzRot6tJ4AaABAg,QUANGTRUNG98,Bài HongKong1 b ạ,2018-12-04T06:26:03Z,0,null
71,UgzRE1llKGlsCBsFlpJ4AaABAg,Hun Bi,Khom béc chứ,2018-12-14T00:11:40Z,1,null
72,UgzRE1llKGlsCBsFlpJ4AaABAg,TeA jay,@和真kuzuma :))))))))),2018-12-07T05:20:06Z,3,null
73,UgzRE1llKGlsCBsFlpJ4AaABAg,和真kuzuma,TeA KiLl :v,2018-12-04T06:42:58Z,4,null
74,UgwXNwtX85BGy6J0dYt4AaABAg,QUANGTRUNG98,Bài HongKong1 b ạ,2018-12-04T06:26:27Z,0,null
75,Ugz8TAMyiTwqlIf9gx94AaABAg,_ m u ố i_,アクマアズサ Nguyễn Phương Linh nhoé,2019-01-03T09:34:24Z,0,null
76,Ugz8TAMyiTwqlIf9gx94AaABAg,Ngọc,"Không có sub thì tôi không hiểu ""Ca chìu ma"" là gì luôn.",2018-12-22T18:01:43Z,0,null
77,Ugz8TAMyiTwqlIf9gx94AaABAg,Lê Văn Đết,"Bây bi ""cắn chim má""",2018-12-16T13:40:54Z,0,null
78,Ugz8TAMyiTwqlIf9gx94AaABAg,Nguyen con Thanh bao,"Hulk, Spiderman y amigos,",2018-12-12T15:37:11Z,0,null
79,Ugz8TAMyiTwqlIf9gx94AaABAg,Hồng Ngọc,:))))))))))))),2018-12-07T03:39:55Z,0,null
80,UgwCHK7OpeEgAGz-zDh4AaABAg,和真kuzuma,@Thuỳ Dương https://www.facebook.com/koharu.azusa,2018-12-06T12:45:44Z,0,null
81,UgwCHK7OpeEgAGz-zDh4AaABAg,和真kuzuma,@Thuỳ Dương :v ok nè,2018-12-06T12:10:05Z,0,null
82,UgwCHK7OpeEgAGz-zDh4AaABAg,Thuỳ Dương,"アクマアズサ Mik có tk r 
Nhưng k biết gửi link 
Bn gửi đi mik ad 
Line tiếng Nhật là sao 
Có tiếng Việt mà",2018-12-06T08:13:03Z,0,null
83,UgwCHK7OpeEgAGz-zDh4AaABAg,和真kuzuma,"Thuỳ Dương thế xin số đi
Hoặc lập tk mới đi
Chứ line tiếng nhật 
Tui đang cố học tiếng anh",2018-12-06T07:16:47Z,0,null
84,UgwCHK7OpeEgAGz-zDh4AaABAg,Thuỳ Dương,"Mà mik cx thik tiếng Nhật nè (đag tính học)
Mik k biết gửi link 
Bn gửi đi mik add",2018-12-05T07:49:05Z,0,null
85,Ugx2Zh-jlpHNk9G34H94AaABAg,Thỏ Nguyễn,@CaoCuong Dang hahaaha chả biết 🤔🤔,2018-12-08T14:01:16Z,1,null
86,Ugx2Zh-jlpHNk9G34H94AaABAg,H. Hoàn Lê,Kì bồn cầu thấy thối quá nên giọt lệ rơi (có thể hiểu là mắt nó đang đái),2018-12-08T13:03:40Z,1,null
87,Ugx2Zh-jlpHNk9G34H94AaABAg,CaoCuong Dang,Giọt lệ cầu kì là gì vậy tiểu thư giải thích cho m đê,2018-12-08T12:04:28Z,0,null
88,Ugx2Zh-jlpHNk9G34H94AaABAg,Thanh Xuân Trần,Thỏ Nguyễn vui thôi mà b,2018-12-04T08:23:14Z,1,null
89,UgxPvG6I5RGeyCxn5bN4AaABAg,Hong Dang,@* CaKho • Mul * thanks,2018-12-03T10:44:22Z,0,null
90,UgxPvG6I5RGeyCxn5bN4AaABAg,* CaKho • Mul *,Đừng như thói quen nha bn,2018-12-03T05:15:22Z,0,null
91,UgzWhw9sd8TWvWN4qlt4AaABAg,QUANGTRUNG98,"- Chạm Đáy Nỗi Đau
- Người Âm Phủ EDM
- Em Mới Là Người Yêu Anh

- Đừng Như Thói Quen
- Đừng Quên Tên Anh Mặt Trời Của Em
- Vì Anh Thương Em
- HongKong1",2018-12-03T01:14:12Z,1,null
92,UgxAzkNtTVkIZ6BQ8JJ4AaABAg,LOVEEE KPOOOPP,QUANGTRUNG98 cảm ơn nhe!,2018-12-02T14:24:19Z,0,null
93,UgxAzkNtTVkIZ6BQ8JJ4AaABAg,QUANGTRUNG98,Bài Vì anh thương e b ạ,2018-12-02T14:20:46Z,1,null
94,UgzPp-SFTYs0UR_UDb94AaABAg,和真kuzuma,bts OK,2018-12-04T06:44:14Z,0,null
95,UgwhMkKEogW_-sw0dlZ4AaABAg,QUANGTRUNG98,Bài Vì a thương e bạn ạ,2018-12-02T09:10:19Z,0,null
96,Ugx8BkjxddJ0yhITqRt4AaABAg,Dương Tiến,đừng quên đeo bao :),2019-01-30T13:27:53Z,2,null
97,Ugx8BkjxddJ0yhITqRt4AaABAg,Anh Quí,Câu trả lời nằm trong bài hát đó bạn 😅😆 1:32 :),2018-12-16T09:38:42Z,3,null
98,Ugx8BkjxddJ0yhITqRt4AaABAg,Nguyễn Vân,@Thạch Minh hỏi để biết =)),2018-12-09T06:18:29Z,0,null
99,Ugx8BkjxddJ0yhITqRt4AaABAg,Thạch Minh,HỎI LÀM J,2018-12-09T06:03:05Z,0,null
100,Ugx8BkjxddJ0yhITqRt4AaABAg,Nguyễn Vân,Đừng quên tên anh,2018-12-07T10:21:54Z,0,null
101,UgyvKk9bfJgF-N71CPB4AaABAg,Lam Le,@gg hh đúng r. Chuẩn quá,2018-12-15T15:31:39Z,1,null
102,UgyvKk9bfJgF-N71CPB4AaABAg,gg hh,sân si mới có video cho các ng coi chứ,2018-12-15T05:18:22Z,9,null
