,id,comment,author,likecount,publishedAt,Label
52,UgxlZB0JSlCXJ8QNcWF4AaABAg,Giờ thì tao đã  thấy ST nó còn hát rõ hơn,TrươngCồn vlog,0,2019-02-10T06:25:50Z,null
53,UgzuUC1Yx_JP4y-Bkld4AaABAg,Thằng này xàm lồn ghê,ko bik,0,2019-02-10T00:28:16Z,null
54,UgzZNdu8YUC1RCd7AE54AaABAg,"Sắp đến tết rồi đến trường rất vui
Câu này ms khó hiểu nè :)))
Tết tới mà đến trường rất vui",Anh Kiệt,0,2019-02-09T16:39:16Z,null
55,Ugzx0PZDZghdpxt4kKB4AaABAg,"""2 giờ sáng anh gọi em ko bắt máy"" :)))",Phương uyên,4,2019-02-09T16:17:36Z,null
56,UgxcRBSPaww_haiQjMR4AaABAg,Sao ko phải cây chanh cây chuối 🤣🤣🤣,VÂN NGHI,0,2019-02-09T13:03:49Z,null
57,Ugznt3jgN3d2ZzHFTJh4AaABAg,Thương như cây bằng non là nói về người lính biển xa người yêu nhé ad.thương e như thương cây bàng ngoài biển khơi đấy,Quyet Le,1,2019-02-09T04:20:15Z,null
58,UgwNATMNJInlQw2Cq5V4AaABAg,Tao ghét nhất video này người ta là ca sĩ họ có quyền hát một bài hát cho fan của họ ko có nghĩa là cho bọn ko não ati vào phỉ báng,Công Thành,0,2019-02-08T13:55:30Z,null
59,UgxENGqSbBLQ0cens954AaABAg,nhảm lol tao éo thấy chỗ nào hay,Chau Tran,0,2019-02-08T11:46:44Z,null
60,UgxbJoTr1RXZN8SoV0V4AaABAg,lời viết ra cho vần chứ có nghĩa mẹ gì đâu,TienNguyen ở Czech,0,2019-02-08T07:30:47Z,null
61,UgyLgOfnNH5U24BkRJt4AaABAg,Phũ 😂😂😂,Như Ý Phạm,0,2019-02-07T16:35:59Z,null
62,UgwhDe5BgWN2FvQyixN4AaABAg,"Vì Anh Thương Emmmmm. Thương Luôn Con Bạn Em
Em Biết Ko. Làm Sao Em Biết Được!",Hoa Do,2,2019-02-07T15:25:05Z,null
63,UgzEIiSZdtkwtrYNOh54AaABAg,"Đúng rồi đóa tau cũg chả hiểu tự dưng lại thương em như thương cây bàng non ! Vãi , các mài có hiểu cái quầy què j khi nghe cái khúc đó của bài vì a thg e k v ???",Ở đây có nhạc Âu Mĩ,0,2019-02-07T13:12:57Z,null
64,Ugz_yO965k5r3ako9DN4AaABAg,Kajima là đừng đi,The CoolMoon,0,2019-02-06T15:51:04Z,null
65,UgwQvEu70sFP0xzswgl4AaABAg,Các mày cho kao hỏi giọt lệ tràn đầy cầu kì là ccc gì zạ =)),yu wu,0,2019-02-06T15:17:55Z,null
66,UgxnAgGvW4bjhG_IcdZ4AaABAg,"Giọt lệ tràn đầy cầu kì là gì??!
Là nước mắt tràn theo đường vòng vèo ko tràn theo đường thẳng,ok !!😁😁😁",Su Ra Nguyễn,1,2019-02-06T15:05:38Z,null
67,UgwqdfXNBcGpf21zDNN4AaABAg,Có vid này nhạt vãi,Công,0,2019-02-06T14:41:16Z,null
68,Ugx1Xg2ElZg-RvOWXNd4AaABAg,Xàm lông,Bucky,0,2019-02-06T13:23:41Z,null
69,UgxeAqk0mKr5dsKFWdF4AaABAg,"Bài ""thương"" đầy ý nghĩa. Vui thôi đừng vui quá ad🙂🙂🙂",Phuong Nguyen,0,2019-02-06T12:16:03Z,null
70,UgzPkJcTYxCnVUO-3gB4AaABAg,S ko coá bài: e sai rồi anh xl e đi của chipu nhỉ:bài này cx hack não lắm ak,Lệ Mun,0,2019-02-06T11:02:15Z,null
71,Ugz2vD5h6nuiFJv_MHl4AaABAg,nhac nhu loz,cr7 and fan cr7 canba xh fan mu,0,2019-02-06T06:27:28Z,null
72,UgwfWIomfvfLE7L6Fs14AaABAg,Giọt lệ mà cũng cầu kì được😎😎,phuong linh,0,2019-02-06T05:45:19Z,null
73,UgxLCv7LqOEnqWg_SQx4AaABAg,Dm tao đéo ưa thằng ghép đĩ google vô bài nghe hay không mà nó đi xàm lồn vô p,Hoa Le,0,2019-02-06T03:25:11Z,null
74,UgzTo5WxKmSvsE39kHx4AaABAg,Đã ngu rồi còn thích soi.,Lol LMHT,0,2019-02-06T02:56:49Z,null
75,UgwRzrtf1FmU7aZNIGt4AaABAg,"Kajima theo mk hiểu là đừng đi , kiểu đừg rời xa ấy",Phương Thu,0,2019-02-06T02:32:54Z,null
76,UgyJ8qGPBgLJErLKI2l4AaABAg,Sân si vl,Sơn Trịnh,0,2019-02-05T07:57:33Z,null
77,Ugz7ljYGfyrOlmDu5rF4AaABAg,😂😂😂,Hien Chi,0,2019-02-05T03:53:12Z,null
78,UgxOp2aC6g2kN9cthwV4AaABAg,Thằng này làm clip xàm lồn vc :) lúc ngáo ngáo vs ngơ ngơ là thằng said nó bị vẽ đẹp của nhỏ đó làm cho ngáo ngơ nhé ! Nói chung là thằng lồn này đéo hiểu nghĩa bài hát cc j :),Play Dân,0,2019-02-04T15:38:55Z,null
79,UgxEQk7W1UnRGskbvjN4AaABAg,Vì anh thương em như thương con bạn em :),Mai Nguyễn,0,2019-02-03T08:40:09Z,null
80,UgzJSXHjWpSogvxoL-V4AaABAg,đéo làm ra được sản phẩm như họ thì câm mồm mà nghe soi soi cái lồn,Le Nhat Minh,0,2019-02-03T07:18:25Z,null
81,Ugxzl4ul0QXcYBwN8TZ4AaABAg,Thằng lm video thiếu hiểu biết 😏😏😏,nhat minh Le van,0,2019-02-02T15:13:20Z,null
82,UgxLxrzlOlF8gBp7iOt4AaABAg,1:23 bài j z mn,Ken,0,2019-02-02T11:55:11Z,null
83,UgwmeLhMuKzceTDS_px4AaABAg,Vớ vẩn vl,Cường Mai,0,2019-02-02T09:17:55Z,null
84,Ugwc4UWBOUOeVatPenZ4AaABAg,"Bài ""vì anh thương em"" ai tìm đọc được ý nghĩa của cây bàng non này rất hay đó nha, không phải hát suông đâu ❤❤❤",Meo Meo,12,2019-02-02T08:13:59Z,null
85,UgzN28GgnkUFvDEm4et4AaABAg,Đụ má,Sang Sang,0,2019-02-02T03:16:58Z,null
86,UgxhzPYxc_xs0aFZOPF4AaABAg,Vì anh thương em thương luôn con bạn em,Sun Sun,0,2019-02-01T14:45:54Z,null
87,Ugzk9j-SpgY4W95FyP14AaABAg,Chả có j sai tại ad ngứa miệng,Khá Bá Bảnh,0,2019-02-01T13:15:37Z,null
88,UgzVpR5j8bz1t79aFMN4AaABAg,Baby cơn chiều mưa hay sao í,Nhung Nhồng Nhội,0,2019-02-01T11:21:33Z,null
89,UgzgPFZV2mlsT7wwrWN4AaABAg,Cây bàng non = con bạn em .kiểu như ns lái í :))),hoan tuyen la,0,2019-02-01T09:59:53Z,null
90,UgzoUXjeLEiXrzeG9u94AaABAg,Giọi lệ được kết cấu thật cầu kì,《•WaSaBi• FlyVel》,0,2019-02-01T04:46:53Z,null
91,Ugx_WdZT5OTNcjGtMBp4AaABAg,Vì anh thương em như thương cây bàng non ko hiểu thì đừng gáy nhé =))),Kobayashi Twuen,0,2019-02-01T03:53:33Z,null
92,UgzQZF3dguxygGlq-n54AaABAg,sân si vlll =))),Nhi Uyên,0,2019-02-01T03:48:41Z,null
93,UgwB2aUMj6F8R_YJTZl4AaABAg,Tao thấy soi xàm lol hơn,boss boss,0,2019-01-31T14:53:32Z,null
94,UgzHjRl8919N_b3d-iB4AaABAg,kajima là gì v mấy thím,T T N,0,2019-01-31T12:32:51Z,null
95,Ugyi-x5-UclluS_IMPZ4AaABAg,Có mà m xamlon quá,Mã Đình Kỳ,0,2019-01-31T12:05:02Z,null
96,UgyRxbPusZ0jowC39CR4AaABAg,Cj gu gồ lầy thật :)))),[Dâu Mina A.R.M.Y] TaEKoOK FoReVeR,0,2019-01-31T08:15:53Z,null
97,UgzqqLMeoGYpQMsLrsZ4AaABAg,"Thêm bào của chi pu nữa... 
Cái gì mà : Em sai rồi em sai rồi anh xin lỗi em đi",Lintahlo AMV,0,2019-01-31T03:42:08Z,null
98,Ugz-KNW5emrfmTX17Ht4AaABAg,2 phút 16s la nhac j vậy ae,Long Phạm,0,2019-01-30T13:48:40Z,null
99,Ugz-ijMtO5cG9wPljUd4AaABAg,Con mẹ admin óc 🐕 quá riêng bài cây bàng non đặt trong bối cảnh chiến sĩ bộ đội đảo nhớ người yêu. K biết nhiều nên tùy cái mà sủa,Joker Nguyen,0,2019-01-30T06:47:04Z,null
100,UgxhaEWPiYWqX2OPdlV4AaABAg,Vì anh thương em ... thương lun con bạn em,N F O R F U N,0,2019-01-29T22:29:53Z,null
101,Ugz2sjCRlppWxmmJbE54AaABAg,Hát tiếng thái,Wuy,0,2019-01-28T13:37:13Z,null
102,Ugy0vtmxro-zK3YlEYp4AaABAg,chị nói mất dạy quá  .bài ta sao kệ đi. nhận xét vô duyên,tra my nguyen,0,2019-01-28T02:34:45Z,null
103,UgzhxQwdPbfj671y_ZB4AaABAg,"Ghét cái bà gu gồ quá
Like cho bỏ ghét :))",Jeff The Killer,0,2019-01-26T14:28:05Z,null
104,Ugy-DdPl0AqWtlWgIPh4AaABAg,Vì anh thương em thương luôn con bạn em,Tiên Nguyen,0,2019-01-26T01:34:19Z,null
105,UgzuwH2j-XjbYQLzKMd4AaABAg,"Mà việt là việt Đi.  Anh là anh  , nepal là nepal Đi.  Sao phải xỏ xiên làm gì cho nó khó hiểu  , lời việt thiếu gì  , tây không ra tây  , ta không ra ta.  Chả có nhẽ lại nói như cái nồi lẩu  . Mình nghĩ phải thêm mắm tôm vào cái nồi đó mới hợp với thể loại đó  .",Hoà Bùi,0,2019-01-21T16:15:08Z,null
106,UgxUCaK46WlAEPkUxHN4AaABAg,Đm nó phốt toàn bài hay vl,Map Bi,0,2019-01-19T07:55:32Z,null
107,UgzHV9qqbQAzNtUJ1I14AaABAg,Cây bàng non là các chú chiến sĩ ngòi đảo trồng cây bàng rất khó khăn nên như vậy,Hi everyone,0,2019-01-17T12:10:48Z,null
108,UgwZ-bhZI0oloumwyRB4AaABAg,Bai dau la gi vay moi nguoi,Thuy Ho,0,2019-01-16T14:23:51Z,null
109,UgxfpZUbFDfkun6_TDt4AaABAg,1:52 là bài gì dzợ ?,Nguyen Vo Lan Thanh,0,2019-01-15T13:32:37Z,null
110,UgzuQ0OozrxRPMqmAst4AaABAg,Osad như cl,Trâm Anh Nguyễn,0,2019-01-12T11:23:55Z,null
111,UgxfzCBAQJBTAyXqTvR4AaABAg,Chị Google cũng ngơ ngơ ngáo ngáo,Trần Miu,0,2019-01-12T01:51:46Z,null
112,Ugxnrs0oMMWnsOIwKup4AaABAg,"Cố gắng cho Tring Nguyễn hơn 500 👍 đi cám ơn mọi người nhiều 
Video cũng hay cho 1 👍",Tốc Chiến VN,0,2019-01-11T09:10:34Z,null
113,UgyMz49ywmvKd0s7lVd4AaABAg,Mà cho hỏi cái bài: giờ e bt giờ e ko bt muốn a bt lại mún a ko bt . Là bài j dợ,vugiaan nguyen,0,2019-01-08T13:08:43Z,null
114,UgyDqe76p3KZniTijCh4AaABAg,"mấy thanh niên bảo sân si hay j chắc k biết đùa :)))
t thây nó nói chủ yếu vui mà sao bây cứ gắt thế ?",Gin Π,0,2019-01-05T13:30:35Z,null
115,UgxQOFZdiuUTmpXT5Ut4AaABAg,Ai đồng ý “đừng như thói quen hay nhất” không?,Huyền LT,0,2019-01-05T08:38:59Z,null
116,UgwWq186VEkwceUk_2x4AaABAg,"CÁI CÂU:""NHỮNG NGÀY MƯA NYUW THẾ,SAO EM ĐÃ VỘI BUÔNG TAY-tao tưởng chụy gu gồ nói là để nó dìa ba má nó đập sml,trời mưa rét mà Éo cho em về :)) gu gồ Come Back .-.👊🏻",Hoang Nguyen Huu,1,2019-01-01T06:24:12Z,null
117,UgxkTCNmpcX79LLAQ2N4AaABAg,Bớt sân sị lại dùm cái.Nói cái lozz jz,Hồ Nguyễn Minh Phát,0,2018-12-31T09:15:19Z,null
118,UgxtIQun0V7-Tzmwtah4AaABAg,Lũ lôn não ngắn như thằng ad sao hiểu được 😏😏😏😏,G Lil,0,2018-12-30T13:34:06Z,null
119,UgzXJbE6o5fT8eWY-Lt4AaABAg,"video xàm lồn, dislike",The Fat Man next door,0,2018-12-30T06:52:40Z,null
120,UgxQyzySlRO5OVAvwzl4AaABAg,Rảnh :))),JOO JEN,0,2018-12-29T17:24:51Z,null
121,UgxF7lq02M6lB59txbZ4AaABAg,1:08 bài j z,Park Bông,0,2018-12-27T14:46:13Z,null
122,Ugzw8B7gvM3BLKWPVKZ4AaABAg,Bai cuoi la gi vay,Phuong Nguyen,0,2018-12-27T13:32:52Z,null
123,UgylkQ4xDkqKfqoMiy14AaABAg,"Nhạc trẻ Việt Nam nhiều bài nó là vậy, nhiều câu chữ sến chẳng ra sến, có nghĩa chẳng ra nổi nghĩa, câu chữ nắm thứ nghe kì cục. Nhiều bài chủ yếu được cái giai điệu hay chứ lời bài hát mà đọc ra thì như văn của trẻ mẫu giáo.",Simply Life,0,2018-12-27T11:46:03Z,null
124,UgxBIZHsyFc5ihFBQNV4AaABAg,0:03 Kajima là tiếng Hàn nhá,Đường Tam Tạng,0,2018-12-27T09:52:00Z,null
125,Ugypth1NMJB29ecL3-N4AaABAg,Xàm vl,phú văn,0,2018-12-27T06:35:58Z,null
126,UgzFa-Ws1_HhbYzw8GN4AaABAg,"Phân tích thử ""Để gió cuốn đi"" hay ""Một cõi đi về"" là biết mặt nhau ngay ấy mà...   (:D",HOAHOOD,0,2018-12-26T14:46:06Z,null
127,UgzZ_FOeCVE4tAqr9h54AaABAg,1:06 là bài gì vậy mọi người,hao baber,0,2018-12-26T13:58:47Z,null
128,UgzRhs-12hfWRpsLMj94AaABAg,co ai cho mik biet bai erik hat la bai j k,Hang Dao Thi Thu,0,2018-12-26T12:48:25Z,null
129,Ugyv9Glja8eWdu6RfTt4AaABAg,0:30  'em có y bản thân mình không nếu có làm tình địch với a nhá' tức là anh yêu em đấy ạ! Em yêu em. A cũng yêu em chúng ta cùng yêu chung 1 người  thì nghiã  là a và e là tình địch chứ sao nữa,Huong Mai,0,2018-12-26T04:08:21Z,null
130,UgzbdhM0XUny-hc8QBN4AaABAg,Nếu thắc mắc bài vô cùng thì seach xem ý nghĩa bài đó đi nhé :)) nhắc đến cây bàng k vô lí đâu,Phương Dung,0,2018-12-25T14:48:37Z,null
131,Ugwi5LpBOEEM7Mo6N8V4AaABAg,"Nice.Hay, đấng bá đạo của năm.X'D",Blue T,0,2018-12-25T11:18:43Z,null
132,UgwYx3iTEVOgLvxjSm94AaABAg,dell ngậm đc mồm,phúc phạm,0,2018-12-25T08:01:10Z,null
133,UgzJonyBK3vR_I6A9zZ4AaABAg,má nó soi kinh vcl,HPhúc,0,2018-12-23T09:46:04Z,null
134,UgzqfFWEFAqZv58BonV4AaABAg,T cũng thắc mắc Hoa Vinh 😂,Thuy Pham,0,2018-12-22T16:00:54Z,null
135,UgzF6j7v5F4m8NGJNF54AaABAg,bài hát thứ hai tên gì vậy.!!!,Le Diem Pham,0,2018-12-22T14:08:26Z,null
136,UgyNR6H1dmRVOt8Yp7l4AaABAg,Thằng xàm lồn nào làm cái clip này vậy,HiraHira Hirara,0,2018-12-22T10:36:47Z,null
137,Ugy7blUtmxvSBKvpB1l4AaABAg,Kajima = cắt chim má,Diêu ngân Nguyễn,0,2018-12-22T08:23:27Z,null
138,UgznaWn-JchNE-oit794AaABAg,Cái bài hongkong1 nghe lời và suy ngẫm muốn hack não. Như là tác giả nghĩ văn chương đại đại gom vô cho khớp nhạc :)),Chau Phan,0,2018-12-21T17:04:44Z,null
139,Ugz_HD20Tkm-z2Ixbb94AaABAg,Khùng hả,kim sojung,0,2018-12-21T15:24:44Z,null
140,Ugzsm_cVRfBWkLlam1h4AaABAg,"Đến  giờ  tao  vẫn  chưa  hiểu  éo  gì  "" em  "" vs  "" cây  bàng  non  "" có  cl gì liên quan",Hùng Hoàng,0,2018-12-21T07:15:32Z,null
141,UgxxTvwmSjtC_qzeRLJ4AaABAg,2:21 bài này bài j vậy,Moshi Art,0,2018-12-20T17:16:17Z,null
142,UgwsSoZFaPb99G6wzrN4AaABAg,CHẠM ĐÁY NỖI ĐAU bình thương tôi cũng dịch đc,T t,0,2018-12-20T14:36:04Z,null
143,UgyqR1P7TgP1vT75t-x4AaABAg,That clickbaits are frickin hard,Guest3s [GD],0,2018-12-20T10:50:32Z,null
144,UgxXJvZ07l53NBjs6_R4AaABAg,Lời của mấy bài mới bây giờ méo có nghĩa. Tào lao. Mất đi sự trong sáng của Tiếng việt.,Hoang Vi,0,2018-12-19T22:25:16Z,null
145,Ugxo8-3Lx5h-hCpvSTl4AaABAg,"'' Anh bước sang ngang "" => A là con cua à
=))",dang chung dang chung,0,2018-12-19T11:40:43Z,null
146,Ugx-kc2jBDlcBPP8wVd4AaABAg,Có thể nói ad dốt văn bỏ con mẹ,Trường An,0,2018-12-19T11:08:37Z,null
147,Ugwoyn4MhwttIZEE1xh4AaABAg,2'2phut la bai j zay a,Kiều Anh,0,2018-12-19T09:23:12Z,null
148,UgyEn9AmJSk7__UE_l94AaABAg,"Hài thôi mà 
Mỏi người làm cailon gì mà căng thế😇😇😇",Hàn Thiên Băng,0,2018-12-19T08:27:50Z,null
149,Ugw0FEteAChEqOLemFp4AaABAg,Có hát đc như vậy ko,Loan Nguyễn,0,2018-12-19T07:23:49Z,null
150,UgzYF6XXf6qVS0TPDKZ4AaABAg,Đứa làm clip thấy ghét,Loan Nguyễn,0,2018-12-19T07:23:28Z,null
151,UgwUYmlbCzz6YiZ8-mB4AaABAg,Soi ngu cũng soi...chã có j buồn cười cả,Bê Nguyễn,0,2018-12-19T05:53:40Z,null
152,Ugz5HohmFCxknS5KD0N4AaABAg,hay giong noi con hay hon,Hanh Nguyen,1,2018-12-18T12:09:37Z,null
153,UgzbmPvzLWxNp9l258t4AaABAg,2:8 là bài j,Minecaraft Bảo Trân,0,2018-12-18T10:34:47Z,null
154,UgwBC8vk9t1h6qB-hYR4AaABAg,Kajima: cause you're mine,Đặng Thanh Thúy,0,2018-12-18T08:38:43Z,null
155,UgyOHkFM5gwotj8iIgx4AaABAg,Chó,Khoa Nguyen,0,2018-12-18T05:47:20Z,null
156,UgwPy-hzKbSWGiIrpHh4AaABAg,Âm nhạc để thưởng thức chứ ko phải để soi mói nhé 👌,Nhung Trần,0,2018-12-18T04:16:55Z,null
157,Ugyzuvos1yY7lc1O-q94AaABAg,Con làm video này là người xàm nhất trần giang. Giỏi văn thơ và bắt bẽ người khác thế thì giỏi đi sáng tác nhạc cho mọi người xem là mình tài giỏi đi nào. Lâu lâu xem trúng video xàm xí đú,anh tu nguyen,0,2018-12-17T16:07:08Z,null
